gppd_idnr,owner,lei
AUS0000060,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000147,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000129,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000095,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
WRI1005194,Verbund,5299006UDSEJCTTEJS30
AUS0000005,TrustPower Ltd,254900BVQFBUCEDJWT59
AUS0000456,TrustPower Ltd,254900BVQFBUCEDJWT59
AUS0000245,International Power - GDF Suez Australia,549300URVIMVNUT7QT37
AUS0000096,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000318,St George Leagues Club,894500ETZBY9U6U9OV03
AUS0000168,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000052,RATCH-Australia,549300I8H73KQYHJXP77
AUS0000010,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000059,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000288,TRUenergy,5493003UGD130PSN0V95
AUS0000138,Aurora Energy (Tamar Valley),549300F5KEDOXO4MIT14
AUS0000171,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000119,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000230,Newcrest Mining Ltd,5299006MN50OZJUJI655
AUS0000058,Hydro-Electric Corp Tasmania/SA Water,549300OD7D2JJUXELP43
AUS0000070,Veolia Environmental Services (Aust) Pty Ltd,2138001KNEFF6CGRZ957
AUS0000118,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000069,RATCH-Australia,549300I8H73KQYHJXP77
AUS0000240,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000241,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000172,RATCH Australia,549300I8H73KQYHJXP77
AUS0000032,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000128,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000310,COFCO,3003009WN9MWDJEO6O86
AUS0000292,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000293,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000031,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000117,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000133,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000294,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000098,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000203,Alcoa of Australia Ltd,213800ITOYEXT7GSDW08
AUS0000296,TRUenergy,5493003UGD130PSN0V95
AUS0000050,TRUenergy,5493003UGD130PSN0V95
AUS0000116,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000451,Rio Tinto,213800YOEO5OQ72G2R82
AUS0000105,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000030,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000302,Santos,5299000RK70B5O2M7077
AUS0000101,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000140,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000447,AGL,2138006IPPRD4N6XLT30
AUS0000322,Atlantic Ltd,254900SD1JLUYJ5O9S31
AUS0000051,RATCH-Australia,549300I8H73KQYHJXP77
AUS0000057,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000001,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000029,Veolia Environmental Services (Aust) Pty Ltd,2138001KNEFF6CGRZ957
AUS0000354,Water Corporation,5493007B13U8ZAH77F57
AUS0000389,BHP,WZE1WSENV6JSZFK0JC28
AUS0000100,TRUenergy,5493003UGD130PSN0V95
AUS0000173,Rio Tinto Australia - Yarwun Pty Ltd,213800YOEO5OQ72G2R82
AUS0000218,Rio Tinto Australia Pty Ltd,213800YOEO5OQ72G2R82
WRI1005149,Verbund,5299006UDSEJCTTEJS30
WRI1005150,Verbund,5299006UDSEJCTTEJS30
WRI1005153,Verbund,5299006UDSEJCTTEJS30
WRI1005154,Verbund,5299006UDSEJCTTEJS30
WRI1005155,Verbund,5299006UDSEJCTTEJS30
WRI1005159,Verbund,5299006UDSEJCTTEJS30
WRI1005160,Verbund,5299006UDSEJCTTEJS30
WRI1019146,Wien Energie,529900MUHCX60Q4RYE54
WRI1005164,Verbund,5299006UDSEJCTTEJS30
WRI1005165,Verbund,5299006UDSEJCTTEJS30
WRI1005166,Verbund,5299006UDSEJCTTEJS30
WRI1019130,Wien Energie,529900MUHCX60Q4RYE54
WRI1005167,Verbund,5299006UDSEJCTTEJS30
WRI1005168,Verbund,5299006UDSEJCTTEJS30
WRI1019128,Wien Energie,529900MUHCX60Q4RYE54
WRI1005169,Verbund,5299006UDSEJCTTEJS30
WRI1005170,Verbund,5299006UDSEJCTTEJS30
WRI1005171,Verbund,5299006UDSEJCTTEJS30
WRI1019129,Wien Energie,529900MUHCX60Q4RYE54
WRI1005174,Verbund,5299006UDSEJCTTEJS30
WRI1005177,Verbund,5299006UDSEJCTTEJS30
WRI1005179,Verbund,5299006UDSEJCTTEJS30
WRI1005185,Verbund,5299006UDSEJCTTEJS30
WRI1005186,Verbund,5299006UDSEJCTTEJS30
WRI1005188,Verbund,5299006UDSEJCTTEJS30
WRI1005900,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
WRI1005905,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
WRI1005907,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
