country,name,gppd_idnr,wepp_location_id
AUS,Lower Lake Margaret,AUS0000131,1083938
AUS,Lower Rubicon,AUS0000338,1030168
AUS,Loy Yang A,AUS0000092,1022059
AUS,Loy Yang B,AUS0000075,1014020
AUS,Lucas Heights I,AUS0000037,1016476
AUS,Lucas Heights II,AUS0000036,1069579
AUS,Lucas Heights III,AUS0000035,
AUS,Macarthur Wind Farm,AUS0000417,1067793
AUS,Mackay,AUS0000146,1010517
AUS,Mackintosh,AUS0000142,1019021
AUS,Macknade Sugar Mill,AUS0000174,1040615
AUS,Mandurah,AUS0000357,1068498
AUS,Marble Bar Diesel Backup,AUS0000365,1030206
AUS,Maryborough,AUS0000346,
AUS,Maryvale Mill,AUS0000308,1041168
AUS,McArthur River Mine,AUS0000424,1016477
AUS,McKay Creek (Mount Beauty Hydro Scheme),AUS0000104,1030170
AUS,Meadowbank,AUS0000122,1019023
AUS,Meekatharra,AUS0000408,1030207
AUS,Melbourne,AUS0000333,1024609
AUS,Merredin,AUS0000450,
AUS,Mica Creek,AUS0000446,1023156
AUS,Mildura Solar Farm,AUS0000448,1096003
AUS,Millmerran,AUS0000163,1044066
AUS,Mintaro,AUS0000249,1014353
AUS,Moranbah,AUS0000164,1065304
AUS,Moranbah North,AUS0000054,1071497
AUS,Mortlake,AUS0000108,1061737
AUS,Mount Keith Nickel Mine,AUS0000213,1033315
AUS,Mount Magnet,AUS0000207,1030209
AUS,Mount Millar Wind Farm,AUS0000061,
AUS,Mount Stuart,AUS0000165,1009778
AUS,Mt Gambier,AUS0000443,1014354
AUS,Mt Piper,AUS0000281,
AUS,Mugga Lane,AUS0000034,
AUS,Muja A,AUS0000393,1030210
AUS,Muja B,AUS0000392,1030210
AUS,Muja C,AUS0000214,1030210
AUS,Muja D,AUS0000215,1030210
AUS,Mulgrave,AUS0000375,1040640
AUS,Mumbida Wind Farm,AUS0000475,1084190
AUS,Mungarra,AUS0000216,1030211
AUS,Mungullah,AUS0000387,1066238
AUS,Munmorah,AUS0000282,1013603
