Reporting Entity ,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Scope 1 (t CO2-e),Scope 2 (t CO2-e),Total Emissions (t CO2-e),Emission  Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
ROYALLA HOLDINGS ASSET PTY LTD,Corporate Total,C,N/A,49475,13743,0,85,85,,N/A,N/A,N/A,N/A
SANTOS LTD,Wilga Park Power Station,F,NSW,194465,54018,30404,175,30579,0.56,On,NEM,Coal Seam Methane,N/A
SANTOS LTD,Corporate Total,C,N/A,194465,54018,30404,175,30579,,N/A,N/A,N/A,N/A
SENVION HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,102127,28369,5,0,5,0.00,On,NEM,Wind,N/A
SENVION HOLDINGS PTY LTD,Corporate Total,C,N/A,102127,28369,5,0,5,,N/A,N/A,N/A,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Musselroe Wind Farm Pty Ltd,F,TAS,1900382,527884,151,2881,3032,0.00,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,F,TAS,872765,242435,76,4756,4832,0.00,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,1008270,280075,83,5486,5569,0.00,On,NEM,Wind,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Corporate Total,C,N/A,3781417,1050394,310,13123,13433,,N/A,N/A,N/A,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,SA,1538563,427379,47,148,195,0.00,On,NEM,Wind,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,N/A,1538563,427379,47,148,195,,N/A,N/A,N/A,N/A
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,SA,1229676,341577,0,202,202,0.00,On,NEM,Wind,N/A
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,N/A,1229676,341577,0,202,202,,N/A,N/A,N/A,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,SA,1493388,414830,54,203,257,0.00,On,NEM,Wind,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,N/A,1493388,414830,54,203,257,,N/A,N/A,N/A,N/A
SNOWY HYDRO LIMITED,Angaston Power Station,F,SA,5951,1653,895,569,1464,0.54,On,NEM,Liquid Fuel,N/A
SNOWY HYDRO LIMITED,Colongra Power Station,F,NSW,7027,1952,4646,2716,7362,2.38,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,HEZ Power Station,F,NSW,840,233,149,519,668,0.64,On,NEM,Diesel,N/A
SNOWY HYDRO LIMITED,Laverton North Power Station,F,VIC,4119,1144,1854,3292,5146,1.62,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,F,SA,13511,3753,2083,307,2390,0.56,On,NEM,Diesel,N/A
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,NSW,9322679,2589633,1312,113899,115211,0.00,On,NEM,Hydro,N/A
SNOWY HYDRO LIMITED,Valley Power,F,VIC,18715,5199,4314,2946,7260,0.83,On,NEM,Gas,N/A
SNOWY HYDRO LIMITED,Corporate Total,C,N/A,9372842,2603567,15253,124248,139501,,N/A,N/A,N/A,N/A
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,QLD,625416,173727,206,638,844,0.00,On,NEM,Hydro,N/A
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,QLD,1614214,448393,35,1213,1248,0.00,On,NEM,Hydro,N/A
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,1049,291,332,3,335,1.14,On,NEM,Diesel,N/A
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,QLD,2316247,643402,307351,0,307351,0.48,On,Mt Isa,Gas,N/A
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,31516125,8754479,7396349,6645,7402994,0.84,On,NEM,Black Coal,N/A
STANWELL CORPORATION LIMITED,Swanbank E Power Station,F,QLD,3430389,952886,341746,2663,344409,0.36,On,NEM,Gas,N/A
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,27422475,7617354,6690964,38225,6729189,0.88,On,NEM,Black Coal,N/A
STANWELL CORPORATION LIMITED,Corporate Total,C,N/A,66925915,18590532,14736983,49387,14786370,,N/A,N/A,N/A,N/A
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,SA,17591,4886,6105,525,6630,1.25,On,NEM,Gas,N/A
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,SA,25681,7134,5795,144,5939,0.81,On,NEM,Gas,N/A
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,SA,1386,385,551,381,932,1.43,On,NEM,Diesel,N/A
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,SA,1350,375,510,583,1093,1.36,On,NEM,Diesel,N/A
SYNERGEN POWER PTY LIMITED,Corporate Total,C,N/A,46008,12780,12961,1633,14594,,N/A,N/A,N/A,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,581978,161661,103462,0,103462,0.64,On,SWIS,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,651671,181020,114377,0,114377,0.63,On,SWIS,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,1011064,280851,154478,0,154478,0.55,Off,Off-grid,Gas/Diesel,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,1106066,307241,179213,0,179213,0.58,Off,Off-grid,Gas,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,F,WA,864667,240185,218293,0,218293,0.91,Off,Off-grid,Gas/Diesel,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,N/A,4215446,1170957,769823,0,769823,,N/A,N/A,N/A,N/A
WATER CORPORATION,Cocos Keeling Islands Generation,FA,WA,20311,5642,3886,0,3886,0.69,Off,Off-grid,Liquid Fuel,N/A
WATER CORPORATION,Corporate Total,C,N/A,20311,5642,3886,0,3886,,N/A,N/A,N/A,N/A
WORLEYPARSONS LIMITED,Exmouth Power Station,F,WA,81850,22736,15883,0,15883,0.70,Off,Off-grid,Gas,N/A
WORLEYPARSONS LIMITED,Corporate Total,C,N/A,81850,22736,15883,0,15883,,N/A,N/A,N/A,N/A
