company,locationid,plant,iso3,lon,lat,plant.id
AMERICAN ELECTRIC POWER CO INC,55800,HARRY D MATTISON,USA,-94.2841,36.1855,16991
FORT SMITH DEPT UTILITIES,20443,LEE CREEK WATER TREATMENT FACILITY,USA,-94.3908,35.4892,56834
ARKANSAS ELEC COOP CORP,13512,ELLIS,USA,-94.2917,35.35,8917
US DEPT OF DEFENSE,35585,OZARK,USA,-93.8175,35.4693,33245
ENTERGY CORP,13532,WHITE BLUFF,USA,-92.1392,34.4236,49546
ENTERGY CORP,13524,HARVEY COUCH,USA,-93.4649,33.3592,17033
RANK GROUP LTD,23294,PINE BLUFF MILL,USA,-91.9063,34.2204,34656
ENTERGY CORP,13520,CARPENTER,USA,-93.0262,34.4425,7195
ENTEGRA POWER GROUP LLC,46685,UNION POWER PARTNERS LP,USA,-92.5933,33.2961,47078
POTLATCH CORP,30476,WARREN LUMBER MILL,USA,-92.0789,33.6206,48951
CALPINE CORP,45873,PINE BLUFF ENERGY CENTER,USA,-91.9025,34.2181,34655
KOCH INDUSTRIES INC,20956,GEORGIA PACIFIC CROSSETT,USA,-91.975,33.1421,9715
ENTERGY CORP,13530,REMMEL,USA,-92.8941,34.4272,37034
US DEPT OF DEFENSE,35551,DEGRAY,USA,-93.1099,34.2122,10466
ARKANSAS ELEC COOP CORP,13514,MCCLELLAN (203),USA,-92.7917,33.5648,20471
CLEARWATER PAPER CORPORATION,,CLEARWATER PAPER APP CB,USA,-91.2371,33.7061,71725
INTERNATIONAL POWER GDF SUEZ,49572,HOT SPRING POWER PROJECT,USA,-92.8333,34.4304,18496
US DEPT OF DEFENSE,35583,NARROWS (195),USA,-93.7149,34.1483,30501
KGEN POWER CORP,47437,KGEN HOT SPRING LLC,USA,-92.8683,34.2963,18495
ARKANSAS ELEC COOP CORP,45905,FULTON (7825),USA,-93.7924,33.6094,14311
DOMTAR CORP,20951,ASHDOWN,USA,-94.1083,33.6417,2271
ENTERGY ARKANSAS INC,,LAKE CATHERINE,USA,-92.9046,34.4341,70378
US DEPT OF DEFENSE,35535,BLAKELY MOUNTAIN,USA,-93.1947,34.5711,4876
PINNACLE WEST CAPITAL CORP,47270,SUNDANCE,USA,-111.5899,32.9285,43724
SALT RIVER PROJECT (AZ),45404,DESERT BASIN,USA,-111.7889,32.9042,10615
PINNACLE WEST CAPITAL CORP,13489,CHOLLA,USA,-110.3033,34.9394,8522
CHEMICAL LIME CO,,NELSON PLANT GENERATORS,USA,-113.3108,35.5186,71896
US DEPT OF THE INTERIOR,35638,GLEN CANYON DAM,USA,-111.4838,36.9373,15247
CATALYST PAPER CORP,33754,SNOWFLAKE WHITE MOUNTAIN POWER LLC,USA,-110.3211,34.4917,72592
IBERDROLA RENEWABLE ENERGIES USA,,DRY LAKE,USA,-110.4217,34.5372,72816
PINNACLE WEST CAPITAL CORP,13498,SAGUARO,USA,-111.3,32.5517,38590
ARIZONA PUBLIC SERVICE CO,,PRESCOTT AIRPORT,USA,-112.4008,34.6584,72395
CATALYST PAPER CORP,33754,CATALYST PAPER INC. - SNOWFLAKE MILL,USA,-110.3361,34.5025,42127
SALT RIVER PROJECT,,SPRINGERVILLE,USA,-109.1636,34.3186,71343
"GARKANE ENERGY COOP, INC",,IRC GENERATOR FACILITY,USA,-112.5264,36.9708,72711
SALT RIVER PROJECT (AZ),31944,CORONADO,USA,-109.2717,34.5778,9416
SALT RIVER PROJECT (AZ),31949,NAVAJO,USA,-111.3886,36.9047,30650
HIGHSTAR CAPITAL,45191,GRIFFITH ENERGY LLC,USA,-114.1334,35.0517,15934
SALT RIVER PROJECT (AZ),31940,AGUA FRIA,USA,-112.2161,33.5542,429
US DEPT OF THE INTERIOR,35645,HOOVER DAM (8902),USA,-114.7384,36.014,18301
US DEPT OF THE INTERIOR,35644,HOOVER DAM (154),USA,-114.7389,36.0139,18302
CENTRAL AZ WTR CONSERV DIST,15826,WADDELL,USA,-112.271,33.8452,31016
CALPINE CORP,28016,SOUTH POINT ENERGY CENTER,USA,-114.5317,34.8678,42543
ACCIONA SOLAR POWER,,NEVADA SOLAR ONE,USA,-114.5,36,72476
UNISOURCE ENERGY DEVELOPMENT COMPANY,,BLACK MOUNTAIN GENERATING STATION,USA,-114.1353,35.0534,72509
US DEPT OF THE INTERIOR,35627,DAVIS DAM,USA,-114.5698,35.1967,10315
PINNACLE WEST CAPITAL CORP,13503,WEST PHOENIX,USA,-112.1583,33.4417,49370
SALT RIVER PROJECT (AZ),31943,CROSSCUT,USA,-111.9442,33.44,9714
SALT RIVER PROJECT,,TRI CITIES,USA,-111.8172,33.4833,71320
SALT RIVER PROJECT,,STEWART MOUNTAIN,USA,-111.536,33.5661,70374
SALT RIVER PROJECT (AZ),31950,ROOSEVELT,USA,-111.1618,33.6702,37934
SALT RIVER PROJECT,,KYRENE,USA,-111.9364,33.3544,70373
SALT RIVER PROJECT (AZ),31948,MORMON FLAT,USA,-111.4431,33.5536,54177
PINNACLE WEST CAPITAL CORP,13494,OCOTILLO,USA,-111.9122,33.4225,32163
SALT RIVER PROJECT (AZ),31945,HORSE MESA,USA,-111.344,33.5907,56385
SALT RIVER PROJECT (AZ),31952,SOUTH CONSOLIDATED,USA,-111.7789,33.4672,51237
SALT RIVER PROJECT (AZ),31951,SANTAN,USA,-111.751,33.3333,39665
US DEPT OF THE INTERIOR,45554,HEADGATE ROCK,USA,-114.2744,34.1678,17247
UNISOURCE ENERGY CORP,35041,H WILSON SUNDT GENERATING STATION,USA,-110.9047,32.16,16395
ENTEGRA POWER GROUP LLC,46888,GILA RIVER POWER STATION,USA,-112.694,32.9761,15100
IMPERIAL IRRIGATION DIST,22909,PILOT KNOB,USA,-114.7003,32.7389,34625
PIMA COUNTY WASTEWATER MANAGE,,INA ROAD WATER POLLUTION CONTROL FAC,USA,-111.1958,32.3639,72134
ITOCHU CORP,46158,HARQUAHALA GENERATING PROJECT,USA,-113.1133,33.4759,16963
PINNACLE WEST CAPITAL CORP,13496,PALO VERDE,USA,-112.865,33.38916667,33472
PINNACLE WEST CAPITAL CORP,46392,RED HAWK,USA,-112.84,33.33,36918
DYNEGY - ARLINGTON LLC,,ARLINGTON VALLEY ENERGY FACILITY,USA,-112.8897,33.3417,72140
"UNS ELECTRIC, INC",,VALENCIA,USA,-110.9315,31.3633,71096
IMPERIAL IRRIGATION DISTRICT,,YUCCA,USA,-114.7097,32.7214,70371
TUCSON ELECTRIC POWER CO,,DEMOSS PETRIE,USA,-110.9889,32.2511,70372
SEMPRA ENERGY,47281,MESQUITE GENERATING STATION,USA,-112.8535,33.344,28172
UNIVERSITY OF ARIZONA,,COGENERATION 1,USA,-110.9497,32.2314,72396
FALCON POWER OPERATING COMPANY,,YUMA COGENERATION ASSOCIATES,USA,-114.6641,32.7298,72001
TUCSON ELECTRIC POWER CO,,NORTH LOOP,USA,-111.1262,32.401,71043
ARIZONA'S G&T COOPERATIVES,13479,APACHE STATION,USA,-109.8931,32.0619,1797
