Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1070451,Xiaolongtan Coal,Coal,,,,600,2006,China Guodian Group Corporation,,Xiaolongtan  Kaiyuan County  Honghe Prefecture  Yunnan Province,,,,,,,,,23.837676,103.196365,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33433-xiaolongtan-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070452,Weixin Coal,Coal,,,,1200,2012,Guangdong Yudean Tashi Energy Co Ltd,,Weixin County  Zhaotong Prefecture  Yunnan Province,,,,,,,,,27.890144,104.874781,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33432-weixin-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070453,Xunjiansi Coal,Coal,,,,735,2004,Huadian Power International Company Limited,,Xunjiansi  Mile County  Honghe Prefecture  Yunnan Province,,,,,,,,,23.957147,103.190387,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33435-xunjiansi-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070454,Xuanwei Coal,Coal,,,,2400,2000,China Guodian Group Corporation,,Xuanwei County  Qujing Prefecture  Yunnan Province,,,,,,,,,26.187183,104.110557,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33434-xuanwei-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070455,Yuwang Coal,Coal,,,,1200,2009,China Huaneng Group Corporation (CHNG),,Shibalianshan Township (Shibalianshanxiang)  Fuyuan County  Qujing Prefecture  Yunnan Province,,,,,,,,,25.101645,104.617237,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33437-yuwang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070456,Yangzonghai Coal,Coal,,,,1000,1997,China Guodian Group Corporation,,Tangchi Town  Yiliang County  Kunming  Yunnan Province,,,,,,,,,24.962166,103.027738,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33436-yangzonghai-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070457,Chayuan Coal,Coal,,,,1320,2015,China Power International Development Limited,,Chayuan Town  Jinsha County  Bijie City  Guizhou Province,,,,,,,,,27.494698,106.450686,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25513-chayuan-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070458,Anping Coal,Coal,,,,300,2007,Xiyang Energy Co Ltd,,Leping (Lepingzhen) Town  Xiyang County  Jinzhong Prefecture  Shanxi Province,,,,,,,,,37.642973,113.649376,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33531-anping-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070459,Changzhi - Guodian Coal,Coal,,,,660,2012,Guodian Shanxi Branch Co Ltd,,Yangbao Village  Houbeizhuang Town  Jiaoqv District  Changzhi Prefecture  Shanxi Province,,,,,,,,,36.192646,113.011596,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33532-changzhi-guodian-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070460,Changzhi - Zhangzhe 2 Coal,Coal,,,,840,1989,Zhangze Power,,Zhangdian Road  Jiao District  Changzhi Prefecture  Shanxi Province,,,,,,,,,36.322783,113.08065,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33533-changzhi-zhangzhe-2-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070461,Changzhi - Zhangzhe 3 Coal,Coal,,,,600,2004,Zhangze Power,,Zhangdian Road  Jiao District  Changzhi Prefecture  Shanxi Province,,,,,,,,,36.325069,113.081301,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33534-changzhi-zhangzhe-3-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070462,Changzhi - Zhangzhe 4 Coal,Coal,,,,1200,,Zhangze Power,,Zhangdian Road  Jiao District  Changzhi Prefecture  Shanxi Province,,,,,,,,,36.327008,113.08021,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33535-changzhi-zhangzhe-4-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070463,Datong - Guodian 1-6 Coal,Coal,,,,1200,1984,Guodian Shanxi Branch Co Ltd,,Qili Village   Nanjiao district  Datong  Shanxi Province,,,,,,,,,40.032525,113.291882,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33536-datong-guodian-1-6-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070464,Datong - Guodian 7-8 Coal,Coal,,,,1200,,Guodian Shanxi Branch Co Ltd,,Qili Village   Nanjiao district  Datong  Shanxi Province,,,,,,,,,40.028665,113.294799,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33537-datong-guodian-7-8-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070465,Liuzhou Coal,Coal,,,,400,1994,Guangxi Liuzhou Power Plant,,QianFeng Road 4  LiuBei District  Liuzhou City  Guangxi Zhuang Autonomous Region,,,,,,,,,24.37383,109.386135,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25677-liuzhou-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070466,Bijie Coal,Coal,,,,300,2009,China Huadian Group Corporation,,Yachi Town  Qixingguan District  Bijie City  Guizhou Province,,,,,,,,,27.276479,105.347873,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25512-bijie-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070467,Leiyang Baiyang Coal,Coal,,,,120,2006,Leiyang Baiyang power station,,Leiyang City  Hengnang Prefecture  Hunan Province,,,,,,,,,26.366675,112.872998,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32878-leiyang-baiyang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070468,Liyujiang 1 Coal,Coal,,,,630,2003,China Resources Power Holdings Co Ltd,,Suxian District  Chenzhou Prefecture  Hunan Province,,,,,,,,,25.942831,113.213995,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32879-liyujiang-1-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070469,Jinzhushan Coal,Coal,,,,1200,2006,Datang Hunan Huayin Electric Power,,Jinzhushan  Lengshuijiang City  Loudi Prefecture  Hunan Province,,,,,,,,,27.626081,111.481906,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32876-jinzhushan-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070470,Leiyang Coal,Coal,,,,1000,1988,Datang Hunan Huayin Electric Power,,Leiyang City  Hengnang Prefecture  Hunan Province,,,,,,,,,26.38507,112.858966,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32877-leiyang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070471,Changde Coal,Coal,,,,1320,2015,Changde Huadian Power Plant,,Fengshugang Village  Deshan Town  Wuling District  Changde Prefecture  Hunan Province,,,,,,,,,29.196975,111.560734,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32874-changde-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070472,Changsha Coal,Coal,,,,1200,2007,Huadian Power International Company Limited,,Shilongcun  Wangcheng  Changsha  Hunan Province,,,,,,,,,28.487678,112.798497,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32875-changsha-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070473,Anshan- Ansteel 2 Coal,Coal,,,,345,1973,Anshan Iron and Steel Group Corporation (Ansteel),,Liuxitun  Tiexi District  Anshan  Liaoning Province,,,,,,,,,41.135888,122.964853,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33198-anshan-ansteel-2-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070474,Zhijin Coal,Coal,,,,1320,2015,China Guodian Corporation,,Babu Village  Zhijin County  Bijie City  Guizhou Province,,,,,,,,,26.83264,105.819326,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25535-zhijin-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070475,Yaxi Coal,Coal,,,,1200,2005,China Guodian Corporation,,Yaxi  Zunyi County  Zunyi City  Guizhou Province,,,,,,,,,27.578473,106.655182,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25534-yaxi-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070476,Fengrun Coal,Coal,,,,600,2008,Datang Fengrun Power Station,,Fengrun District  Tangshan Prefecture  Hebei Province,,,,,,,,,39.805097,118.086103,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33286-fengrun-coal-power-plant,,,,,,,,,,,,China,,Industry About
