eic_p,eic_g,min_load,ramp_up,ramp_down,minimum_up_time,minimum_down_time,eff,best_source
47W000000000156I,47W000000000222V,0.182,0.013,-0.014,60,85,0.320,OEM_derived
47W000000000156I,47W000000000225P,0.182,0.013,-0.014,60,85,0.310,Class_derived
47W000000000156I,47W000000000224R,0.182,0.013,-0.014,60,85,0.310,Class_derived
47W000000000156I,47W000000000114Y,0.196,0.009,-0.013,97,112,0.360,Class_derived
47W000000000156I,47W0000000001121,0.196,0.009,-0.013,97,112,0.360,Class_derived
47W000000000242P,47W000000000227L,0.249,0.007,-0.007,60,60,0.450,Class_derived
47W000000000243N,47W000000000228J,0.169,0.009,-0.011,110,60,0.360,Class_derived
47W000000000244L,47W000000000229H,0.169,0.009,-0.011,110,60,0.360,Class_derived
49W000000000091R,49W0000000000253,,,,,,,
49W000000000094L,49W000000000095J,0.286,0.011,-0.012,69,89,0.460,OEM_derived
49W000000000096H,49W000000000097F,0.286,0.011,-0.012,69,89,0.480,Class_derived
49W000000000090T,49W0000000000261,0.335,0.011,-0.013,77,71,0.480,OEM_derived
49W000000000000J,49W000000000000J,0.052,0.014,-0.014,837,60,,
49W000000000088G,49W000000000089E,0.335,0.011,-0.013,77,71,0.520,OEM_derived
49W000000000080W,49W000000000081U,0.335,0.011,-0.013,77,71,0.520,OEM_derived
49W000000000082S,49W000000000083Q,0.335,0.011,-0.013,77,71,0.520,OEM_derived
49W000000000084O,49W000000000085M,0.335,0.011,-0.013,77,71,0.520,OEM_derived
49W000000000086K,49W000000000087I,0.335,0.011,-0.013,77,71,0.520,OEM_derived
49W0000000001225,49W000000000109Y,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000078J,49W000000000079H,0.28,0.011,-0.013,211,69,0.410,emissions_15_derived
49W000000000070Z,49W000000000002F,0.28,0.011,-0.013,211,69,0.390,emissions_15_derived
49W000000000072V,49W000000000073T,0.308,0.012,-0.014,152,76,0.530,OEM_derived
49W000000000074R,49W000000000075P,0.308,0.012,-0.014,152,76,0.530,OEM_derived
49W000000000117Z,49W0000000000423,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000110C,,0.052,0.014,-0.014,837,60,,
49W0000000001128,49W0000000001136,0.308,0.012,-0.014,152,76,0.500,Class_derived
49W000000000111A,,0.054,0.014,-0.014,11894,60,,
49W000000000063W,49W000000000013A,0.335,0.011,-0.013,77,71,0.490,OEM_derived
49W000000000063W,49W0000000000148,0.308,0.012,-0.014,152,76,0.550,OEM_derived
49W000000000066Q,49W0000000000075,0.28,0.011,-0.013,211,69,0.400,emissions_15_derived
49W000000000066Q,49W0000000000083,0.28,0.011,-0.013,211,69,0.400,emissions_15_derived
49W000000000069K,49W0000000000059,0.308,0.012,-0.014,152,76,0.530,OEM_derived
49W000000000061-,49W0000000000156,0.335,0.011,-0.013,77,71,0.380,Class_derived
49W000000000102B,49W0000000000326,0.28,0.011,-0.013,211,69,0.410,emissions_15_derived
49W0000000001047,49W000000000037X,0.335,0.011,-0.013,77,71,0.460,OEM_derived
49W000000000054X,49W000000000055V,0.498,0.009,-0.012,1694,342,,
49W000000000056T,49W000000000057R,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000058P,49W000000000059N,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000058P,49W0000000001209,0.308,0.012,-0.014,152,76,0.500,Class_derived
49W0000000000512,49W0000000000415,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000048S,49W000000000049Q,0.308,0.012,-0.014,152,76,0.460,OEM_derived
49W000000000047U,49W0000000000245,0.335,0.011,-0.013,77,71,0.480,OEM_derived
49W000000000044-,49W000000000020D,0.308,0.012,-0.014,152,76,0.520,OEM_derived
49W000000000044-,49W0000000000180,0.308,0.012,-0.014,152,76,0.550,Class_derived
49W000000000044-,49W000000000019Z,0.308,0.012,-0.014,152,76,0.550,Class_derived
49W0000000000431,49W0000000000164,0.335,0.011,-0.013,77,71,0.480,OEM_derived
49W0000000000431,49W0000000000172,0.308,0.012,-0.014,152,76,0.490,emissions_15_derived
49W000000000046W,49W0000000000237,0.271,0.008,-0.01,60,60,0.360,Class_derived
49W000000000046W,49W0000000000229,0.271,0.008,-0.01,60,60,0.360,Class_derived
49W000000000046W,49W000000000021B,0.479,0.013,-0.012,60,60,0.390,OEM_derived
49W000000000045Y,49W000000000039T,0.308,0.012,-0.014,152,76,0.540,OEM_derived
49W000000000045Y,49W000000000038V,0.28,0.011,-0.013,211,69,0.430,emissions_15_derived
49W0000000000342,49W0000000000342,0.286,0.011,-0.012,69,89,0.530,OEM_derived
50WP00000000384S,50WG000000008967,,,,,,,
50WP00000000384S,50WG000000008975,0.2,0.015,-0.015,307,63,,
50WP000000002528,50WG00000000637V,0.211,0.014,-0.014,60,60,,
50WP00000000251A,50WG000000006324,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006316,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006332,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006308,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000636X,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000635Z,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006340,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000629U,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WGI00000006265,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006162,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006170,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006146,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006138,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006154,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000611C,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000612A,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000610E,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006081,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006065,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006073,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000620B,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000627Y,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000628W,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006243,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WGI00000006095,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006251,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006219,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006235,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG000000006227,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000619X,0.2,0.015,-0.015,307,63,,
50WP00000000251A,50WG00000000618Z,0.2,0.015,-0.015,307,63,,
50WP00000000383U,50WG000000008959,0.211,0.014,-0.014,60,60,,
50WP00000000383U,50WG00000000894B,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000207J,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000208H,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000209F,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000210U,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000211S,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000214M,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000212Q,0.211,0.014,-0.014,60,60,,
50WP00000000079X,50WG00000000213O,0.211,0.014,-0.014,60,60,,
50WP00000000382W,50WG00000000891H,0.2,0.015,-0.015,307,63,,
50WP00000000382W,50WG00000000892F,0.2,0.015,-0.015,307,63,,
50WP00000000382W,50WG00000000893D,0.2,0.015,-0.015,307,63,,
50WP00000000381Y,50WG00000000890J,0.211,0.014,-0.014,60,60,,
50WP00000000078Z,50WG00000000206L,0.211,0.014,-0.014,60,60,,
50WP000000002560,50WG000000006421,0.052,0.014,-0.014,837,60,,
50WP00000000691J,50WG00000001785B,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001784D,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001783F,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001782H,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001781J,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001776C,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001775E,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001774G,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001773I,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001772K,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001771M,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001770O,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG000000017796,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001777A,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG000000017788,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001780L,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001768B,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG000000017699,0.211,0.014,-0.014,60,60,,
50WP00000000691J,50WG00000001767D,0.211,0.014,-0.014,60,60,,
50WP00000000122L,50WG000000002922,0.2,0.015,-0.015,307,63,,
50WP00000000388K,50WG000000009005,0.2,0.015,-0.015,307,63,,
50WP00000000121N,50WG000000002914,0.211,0.014,-0.014,60,60,,
50WP00000000121N,50WG000000002906,0.211,0.014,-0.014,60,60,,
50WP00000000121N,50WG00000000289S,0.211,0.014,-0.014,60,60,,
50WP00000000690L,50WG00000001766F,0.2,0.015,-0.015,307,63,,
50WP000000002552,50WG000000006413,0.211,0.014,-0.014,60,60,,
50WP000000002552,50WG000000006405,0.211,0.014,-0.014,60,60,,
50WP00000000387M,50WG000000008991,0.211,0.014,-0.014,60,60,,
50WPI00000005425,50WG00000001287R,0.211,0.014,-0.014,60,60,,
50WP00000000386O,50WG000000008983,0.211,0.014,-0.014,60,60,,
50WP000000002544,50WG00000000639R,0.211,0.014,-0.014,60,60,,
50WP00000000120P,50WG00000000288U,0.211,0.014,-0.014,60,60,,
50WP00000000120P,50WG00000000287W,0.211,0.014,-0.014,60,60,,
50WP000000002536,50WG00000000638T,0.211,0.014,-0.014,60,60,,
50WP00000000562U,50WG000000013266,0.211,0.014,-0.014,60,60,,
50WP00000000562U,50WG000000013258,0.211,0.014,-0.014,60,60,,
50WP00000000695B,50WG00000001790I,,,,,,,
50WP00000000695B,50WG00000001791G,0.124,0.014,-0.014,60,60,,
50WP00000000695B,50WG00000001792E,0.124,0.014,-0.014,60,60,,
50WP00000000126D,50WG00000000298R,0.211,0.014,-0.014,60,60,,
50WP00000000126D,50WG00000000299P,0.211,0.014,-0.014,60,60,,
50WP00000000126D,50WG00000000297T,0.211,0.014,-0.014,60,60,,
50WP00000000561W,50WG00000001324A,0.211,0.014,-0.014,60,60,,
50WP00000000258X,50WG00000000644Y,0.211,0.014,-0.014,60,60,,
50WP00000000258X,50WG00000000645W,0.211,0.014,-0.014,60,60,,
50WP00000000694D,50WG000000017893,0.211,0.014,-0.014,60,60,,
50WP00000000694D,50WG000000017885,0.211,0.014,-0.014,60,60,,
50WP00000000257Z,50WGI00000006435,0.211,0.014,-0.014,60,60,,
50WP00000000560Y,50WG00000001322E,0.211,0.014,-0.014,60,60,,
50WP00000000560Y,50WG00000001323C,0.211,0.014,-0.014,60,60,,
50WP00000000124H,50WG00000000295X,0.211,0.014,-0.014,60,60,,
50WP00000000693F,50WG000000017877,0.211,0.014,-0.014,60,60,,
50WP00000000692H,50WG000000017869,0.211,0.014,-0.014,60,60,,
50WP00000000389I,50WG000000009013,0.124,0.014,-0.014,60,60,,
50WP00000000389I,50WG000000009021,0.124,0.014,-0.014,60,60,,
50WP00000000389I,50WG00000000904Y,0.124,0.014,-0.014,60,60,,
50WP00000000389I,50WG00000000906U,0.124,0.014,-0.014,60,60,,
50WP00000000389I,50WG00000000905W,0.211,0.014,-0.014,60,60,,
50WP00000000389I,50WGI00000009035,0.211,0.014,-0.014,60,60,,
50WP00000000123J,50WG00000000294Z,0.211,0.014,-0.014,60,60,,
50WP00000000123J,50WG000000002930,0.211,0.014,-0.014,60,60,,
50WP000000004342,50WGI00000010005,0.2,0.015,-0.015,307,63,,
50WP00000000566M,50WG00000001332B,0.211,0.014,-0.014,60,60,,
50WP00000000566M,50WG00000001331D,0.211,0.014,-0.014,60,60,,
50WP00000000566M,50WG000000013339,0.211,0.014,-0.014,60,60,,
50WP00000000300N,50WG00000000735V,0.211,0.014,-0.014,60,60,,
50WP00000000300N,50WG00000000734X,0.211,0.014,-0.014,60,60,,
50WP000000006993,50WG00000001794A,0.211,0.014,-0.014,60,60,,
50WP000000006993,50WG000000017958,0.211,0.014,-0.014,60,60,,
50WP000000006993,50WG000000017966,0.211,0.014,-0.014,60,60,,
50WP000000004334,50WG00000000999Y,0.211,0.014,-0.014,60,60,,
50WP000000004334,50WGI00000009985,0.211,0.014,-0.014,60,60,,
50WP00000000565O,50WG00000001330F,0.211,0.014,-0.014,60,60,,
50WP000000006985,50WG00000001793C,0.211,0.014,-0.014,60,60,,
50WP000000001297,50WG00000000303N,0.211,0.014,-0.014,60,60,,
50WP000000001297,50WG00000000306H,0.211,0.014,-0.014,60,60,,
50WP000000001297,50WG00000000305J,0.211,0.014,-0.014,60,60,,
50WP000000001297,50WG00000000304L,0.211,0.014,-0.014,60,60,,
50WP000000004326,50WG000000009971,0.211,0.014,-0.014,60,60,,
50WP000000004318,50WG000000009963,0.211,0.014,-0.014,60,60,,
50WP00000000563S,50WG000000013290,0.211,0.014,-0.014,60,60,,
50WP00000000563S,50WG000000013282,0.211,0.014,-0.014,60,60,,
50WP00000000563S,50WG000000013274,0.211,0.014,-0.014,60,60,,
50WP000000001289,50WG00000000302P,0.211,0.014,-0.014,60,60,,
50WP00000000127B,50WG00000000301R,0.211,0.014,-0.014,60,60,,
50WP00000000127B,50WG00000000300T,0.211,0.014,-0.014,60,60,,
50WP00000000430A,50WG000000009955,0.211,0.014,-0.014,60,60,,
50WP00000000740W,50WG000000018873,0.139,0.014,-0.013,86,105,0.380,OEM_derived
50WP00000000437X,50WG00000001009I,,,,,,,
50WP00000000437X,50WG00000001008K,0.211,0.014,-0.014,60,60,,
50WP00000000437X,50WG00000001007M,0.211,0.014,-0.014,60,60,,
50WP00000000437X,50WG00000001006O,0.211,0.014,-0.014,60,60,,
50WP00000000437X,50WG00000001005Q,0.211,0.014,-0.014,60,60,,
50WP00000000437X,50WG00000001004S,0.211,0.014,-0.014,60,60,,
50WP00000000437X,50WG00000001003U,0.211,0.014,-0.014,60,60,,
50WP00000000304F,50WGI00000007415,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002200N,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002201L,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002192X,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002193V,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002191Z,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002196P,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002197N,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002198L,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002194T,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002195R,0.211,0.014,-0.014,60,60,,
50WP00000000872F,50WG00000002199J,0.211,0.014,-0.014,60,60,,
50WP00000000303H,50WG00000000739N,0.211,0.014,-0.014,60,60,,
50WP00000000303H,50WG000000007401,0.211,0.014,-0.014,60,60,,
50WP00000000302J,50WG00000000737R,0.211,0.014,-0.014,60,60,,
50WP00000000302J,50WG00000000738P,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WGI00000021825,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002189M,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002186S,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002187Q,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG000000021900,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002184W,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002185U,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG00000002183Y,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG000000021811,0.211,0.014,-0.014,60,60,,
50WP00000000871H,50WG000000021803,0.211,0.014,-0.014,60,60,,
50WP00000000568I,50WG000000013347,0.211,0.014,-0.014,60,60,,
50WP00000000568I,50WG000000013355,0.211,0.014,-0.014,60,60,,
50WP00000000870J,50WG00000002179P,0.211,0.014,-0.014,60,60,,
50WP000000004350,50WG00000001001Y,0.2,0.015,-0.015,307,63,,
50WP00000000301L,50WG00000000736T,0.052,0.014,-0.014,837,60,,
50WP000000006124,50WG00000001471Y,0.211,0.014,-0.014,60,60,,
50WP00000000744O,50WG000000018938,,,,,,,
50WP00000000744O,50WG00000001892A,,,,,,,
50WP000000008783,50WG00000001475Q,0.124,0.014,-0.014,60,60,,
50WP000000008783,50WG00000001477M,0.124,0.014,-0.014,60,60,,
50WP000000003095,50WG00000000749K,0.211,0.014,-0.014,60,60,,
50WP000000003095,50WG00000000748M,0.211,0.014,-0.014,60,60,,
50WP000000003095,50WG00000000750Z,0.211,0.014,-0.014,60,60,,
50WP000000000819,50WG00000000217G,0.211,0.014,-0.014,60,60,,
50WP000000003087,50WG00000000747O,0.211,0.014,-0.014,60,60,,
50WP00000000743Q,50WG00000001891C,0.211,0.014,-0.014,60,60,,
50WP00000000743Q,50WG00000001890E,0.211,0.014,-0.014,60,60,,
50WP00000000080B,50WG00000000216I,0.2,0.015,-0.015,307,63,,
50WP00000000080B,50WG00000000215K,0.2,0.015,-0.015,307,63,,
50WP000000003079,50WG00000000746Q,0.211,0.014,-0.014,60,60,,
50WP000000008767,50WG00000002205D,0.211,0.014,-0.014,60,60,,
50WP000000008767,50WG00000002206B,0.211,0.014,-0.014,60,60,,
50WP000000008767,50WG00000002204F,0.211,0.014,-0.014,60,60,,
50WP000000008767,50WG00000002203H,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WG00000001469L,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WG00000001468N,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WG00000001467P,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WG00000001466R,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WG00000001465T,0.211,0.014,-0.014,60,60,,
50WP000000006108,50WGI00000014705,0.211,0.014,-0.014,60,60,,
50WP00000000742S,50WGI00000018895,0.211,0.014,-0.014,60,60,,
50WP00000000306B,50WG00000000744U,0.211,0.014,-0.014,60,60,,
50WP00000000306B,50WG00000000743W,0.211,0.014,-0.014,60,60,,
50WP00000000306B,50WG00000000745S,0.211,0.014,-0.014,60,60,,
50WP00000000741U,50WG000000018881,0.211,0.014,-0.014,60,60,,
50WP000000008759,50WG00000002202J,0.211,0.014,-0.014,60,60,,
50WP00000000305D,50WG00000000742Y,0.211,0.014,-0.014,60,60,,
50WP00000000749E,50WG00000001905R,0.211,0.014,-0.014,60,60,,
50WP00000000749E,50WG00000001906P,0.211,0.014,-0.014,60,60,,
50WP000000000851,50WG00000000226F,0.211,0.014,-0.014,60,60,,
50WP00000000747I,50WG00000001901Z,0.124,0.014,-0.014,60,60,,
50WP00000000747I,50WG000000019000,0.124,0.014,-0.014,60,60,,
50WP00000000747I,50WG00000001902X,0.124,0.014,-0.014,60,60,,
50WP00000000747I,50WG00000001903V,0.124,0.014,-0.014,60,60,,
50WP00000000747I,50WG00000001904T,0.124,0.014,-0.014,60,60,,
50WP000000000843,50WG00000000224J,0.211,0.014,-0.014,60,60,,
50WP000000000843,50WG00000000225H,0.211,0.014,-0.014,60,60,,
50WP000000006140,50WG00000001473U,0.211,0.014,-0.014,60,60,,
50WP00000000746K,50WG00000001899X,0.2,0.015,-0.015,307,63,,
50WP00000000746K,50WG00000001898Z,0.2,0.015,-0.015,307,63,,
50WPI00000002485,50WG00000000601F,0.211,0.014,-0.014,60,60,,
50WPI00000002485,50WG00000000600H,0.211,0.014,-0.014,60,60,,
50WP000000006132,50WG00000001472W,0.211,0.014,-0.014,60,60,,
50WP00000000745M,50WG000000018962,0.211,0.014,-0.014,60,60,,
50WP00000000745M,50WG000000018954,0.211,0.014,-0.014,60,60,,
50WP00000000745M,50WG000000018946,0.211,0.014,-0.014,60,60,,
50WP00000000745M,50WG000000018970,0.211,0.014,-0.014,60,60,,
50WP000000008791,50WG00000001476O,0.124,0.014,-0.014,60,60,,
50WP000000008791,50WG00000001474S,0.124,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000219C,0.211,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000218E,0.211,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000223L,0.211,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000222N,0.211,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000221P,0.211,0.014,-0.014,60,60,,
50WP000000000827,50WG00000000220R,0.211,0.014,-0.014,60,60,,
50WP00000000089U,50WG00000000233I,0.211,0.014,-0.014,60,60,,
50WP00000000089U,50WG00000000232K,0.211,0.014,-0.014,60,60,,
50WP00000000089U,50WG00000000234G,0.211,0.014,-0.014,60,60,,
50WP00000000392T,50WG000000009102,0.2,0.015,-0.015,307,63,,
50WP00000000392T,50WG00000000909O,0.2,0.015,-0.015,307,63,,
50WP00000000392T,50WG00000000908Q,0.2,0.015,-0.015,307,63,,
50WP00000000619R,50WG00000001481V,0.211,0.014,-0.014,60,60,,
50WP00000000619R,50WG00000001480X,0.211,0.014,-0.014,60,60,,
50WP00000000088W,50WG00000000231M,0.211,0.014,-0.014,60,60,,
50WP00000000088W,50WG00000000230O,0.211,0.014,-0.014,60,60,,
50WP00000000088W,50WG000000002299,0.211,0.014,-0.014,60,60,,
50WP00000000391V,50WG00000000907S,0.211,0.014,-0.014,60,60,,
50WP00000000087Y,50WG00000000228B,0.2,0.015,-0.015,307,63,,
50WP00000000617V,50WG00000001479I,0.211,0.014,-0.014,60,60,,
50WP00000000617V,50WG00000001478K,0.211,0.014,-0.014,60,60,,
50WPI00000004275,50WG00000000991D,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000308D,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000307F,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000309B,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000310Q,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000311O,,,,,,,
50WP00000000130M,50WG00000000312M,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000313K,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000314I,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000315G,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000317C,0.211,0.014,-0.014,60,60,,
50WP00000000130M,50WG00000000316E,0.211,0.014,-0.014,60,60,,
50WP000000002641,50WG00000000653X,0.211,0.014,-0.014,60,60,,
50WP000000002641,50WG00000000654V,0.211,0.014,-0.014,60,60,,
50WP000000002633,50WG00000000652Z,0.211,0.014,-0.014,60,60,,
50WP000000002633,50WG000000006510,0.211,0.014,-0.014,60,60,,
50WP00000000395N,50WG00000000916R,0.211,0.014,-0.014,60,60,,
50WP00000000395N,50WG00000000917P,0.211,0.014,-0.014,60,60,,
50WP00000000395N,50WG00000000918N,0.211,0.014,-0.014,60,60,,
50WP00000000395N,50WG00000000919L,0.211,0.014,-0.014,60,60,,
50WP00000000395N,50WGI00000009205,0.211,0.014,-0.014,60,60,,
50WP000000002625,50WG000000006502,0.211,0.014,-0.014,60,60,,
50WP000000002625,50WG00000000649O,0.211,0.014,-0.014,60,60,,
50WP00000000394P,50WG00000000915T,0.211,0.014,-0.014,60,60,,
50WP00000000393R,50WG000000009110,0.2,0.015,-0.015,307,63,,
50WP00000000393R,50WG00000000914V,0.2,0.015,-0.015,307,63,,
50WP00000000393R,50WG00000000913X,0.2,0.015,-0.015,307,63,,
50WP00000000393R,50WG00000000912Z,0.2,0.015,-0.015,307,63,,
50WP000000002617,50WG00000000648Q,0.211,0.014,-0.014,60,60,,
50WP000000002609,50WG00000000646U,0.211,0.014,-0.014,60,60,,
50WP000000002609,50WG00000000647S,0.211,0.014,-0.014,60,60,,
50WP00000000570V,50WG000000013371,0.211,0.014,-0.014,60,60,,
50WP00000000570V,50WG000000013363,0.211,0.014,-0.014,60,60,,
50WP00000000001X,50WG00000000003Z,0.2,0.015,-0.015,307,63,,
50WP00000000001X,50WG00000000004X,0.2,0.015,-0.015,307,63,,
50WP00000000001X,50WG00000000005V,0.2,0.015,-0.015,307,63,,
50WP00000000001X,50WG00000000006T,0.2,0.015,-0.015,307,63,,
50WP00000000001X,50WG000000000012,0.2,0.015,-0.015,307,63,,
50WP00000000001X,50WG000000000020,0.2,0.015,-0.015,307,63,,
50WP00000000267W,50WGI00000006605,,,,,,,
50WP00000000267W,50WG00000000659L,0.211,0.014,-0.014,60,60,,
50WP00000000267W,50WG00000000658N,0.211,0.014,-0.014,60,60,,
50WP00000000267W,50WG00000000657P,0.211,0.014,-0.014,60,60,,
50WP00000000267W,50WG00000000663U,0.211,0.014,-0.014,60,60,,
50WP00000000267W,50WG00000000662W,0.211,0.014,-0.014,60,60,,
50WP00000000267W,50WG00000000661Y,0.211,0.014,-0.014,60,60,,
50WP00000000134E,50WG00000000321L,0.211,0.014,-0.014,60,60,,
50WP00000000134E,50WG00000000322J,0.211,0.014,-0.014,60,60,,
50WP00000000266Y,50WG00000000656R,0.211,0.014,-0.014,60,60,,
50WP00000000133G,50WG000000003198,0.211,0.014,-0.014,60,60,,
50WP00000000133G,50WG00000000320N,0.211,0.014,-0.014,60,60,,
50WP00000000399F,50WG00000000923U,0.211,0.014,-0.014,60,60,,
50WP00000000398H,50WG00000000922W,0.211,0.014,-0.014,60,60,,
50WP00000000132I,50WG00000000318A,0.211,0.014,-0.014,60,60,,
50WP00000000397J,50WG00000000921Y,0.2,0.015,-0.015,307,63,,
50WP000000001394,50WG00000000326B,0.2,0.015,-0.015,307,63,,
50WP000000004423,50WG00000001012T,0.211,0.014,-0.014,60,60,,
50WP00000000005P,50WG00000000014U,0.2,0.015,-0.015,307,63,,
50WP00000000005P,50WG00000000012Y,0.2,0.015,-0.015,307,63,,
50WP00000000005P,50WG00000000013W,0.2,0.015,-0.015,307,63,,
50WPI00000006065,50WG00000001429X,0.211,0.014,-0.014,60,60,,
50WPI00000006065,50WG00000001430B,0.211,0.014,-0.014,60,60,,
50WP000000004415,50WG00000001011V,0.211,0.014,-0.014,60,60,,
50WP00000000004R,50WG000000000101,0.211,0.014,-0.014,60,60,,
50WP00000000004R,50WGI00000000115,0.211,0.014,-0.014,60,60,,
50WP000000001386,50WG00000000325D,0.211,0.014,-0.014,60,60,,
50WP00000000573P,50WG00000001340C,0.211,0.014,-0.014,60,60,,
50WP000000004407,50WG00000001010X,0.211,0.014,-0.014,60,60,,
50WP00000000269S,50WG00000000664S,0.052,0.014,-0.014,837,60,,
