gppd_id,name,dukes_name,repd_name,capacity,fuel,repd_id,geo_id,carma_id,repd_id2,owner,year_of_data,source,url,latitude,longitude,geolocation_source
GBR0000574,Whinney Hill II Energy,,Whinney Hill II Energy,1.8,Waste,574,,,,SITA UK,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.7703,-2.3656,UK Renewable Energy Planning Database
GBR0000573,Billinge Hill Quarry Landfill Scheme,,Billinge Hill Quarry Landfill Scheme,1.0,Waste,573,,,,Bidston Methane Ltd.,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.5062,-2.7176,UK Renewable Energy Planning Database
GBR0000572,Risley '4' Landfill Scheme,,Risley '4' Landfill Scheme,5.9,Waste,572,,,,Biffa,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.4372,-2.5057,UK Renewable Energy Planning Database
GBR0000571,Pilsworth Quarry Landfill Scheme,,Pilsworth Quarry Landfill Scheme,4.1,Waste,571,,,,Terry Adams Ltd,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.5836,-2.2583,UK Renewable Energy Planning Database
GBR0000570,Danes Moss Landfill Site,,Danes Moss Landfill Site,1.6,Waste,570,,,,Waste Recycling Group,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.2404,-2.1453,UK Renewable Energy Planning Database
GBR2000832,PV@Pendine,PV@Pendine,,4.9,Solar,,,,,,None,,,None,None,
GBR0004404,Noble Foods,,Noble Foods,1.5,Wind,4404,,,,Wind Direct,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,56.1641,-3.1593,UK Renewable Energy Planning Database
GBR0006508,Slough Sewage Treatment Works,,Slough Sewage Treatment Works,1.2,Waste,6508,,,,Thames Water Utilities,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.5067,-0.6376,UK Renewable Energy Planning Database
GBR0001229,Langlands Solar Farm,,Langlands Solar Farm,2.1,Solar,1229,,,,,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.8973,-3.3609,UK Renewable Energy Planning Database
GBR2000837,Pendine,Pendine,,5.0,Wind,,,,,,None,,,None,None,
GBR0001226,Hollamoor Farm (PV),,Hollamoor Farm (PV),2.0,Solar,1226,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.0506,-4.0744,UK Renewable Energy Planning Database
GBR0006507,Ipswich Hospital Energy Centre,,Ipswich Hospital Energy Centre,2.6,Biomass,6507,,,,Naturegen Energy Centre,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.0568,1.1979,UK Renewable Energy Planning Database
GBR0001223,Hardingham Solar Farm,,Hardingham Solar Farm,14.8,Solar,1223,,,,Solar Century/ Bluefield Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.6041,1.0351,UK Renewable Energy Planning Database
GBR2000231,Bristol Port,Bristol Port,,6.0,Wind,,,,,,None,,,None,None,
GBR0005752,The Sawmill,,The Sawmill,6.8,Biomass,5752,,,,Veolia Energy Services,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.8404,-1.0338,UK Renewable Energy Planning Database
GBR0001358,Cairnhill Farm solar park,,Cairnhill Farm solar park,2.4,Solar,1358,,,,Green Cat Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,57.5603,-2.3723,UK Renewable Energy Planning Database
