NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
SHPELLE,CARMA0060496,,,ALB,,CARMA,http://carma.org/,40.9025,20.6525,CARMA,,,,,,,,
SMOTHINKA,CARMA0042080,,,ALB,,CARMA,http://carma.org/,40.4667,19.4897,CARMA,,,,,,,,
STRAVAJ,CARMA0060534,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
TAMARE WTS,CARMA0044410,,,ALB,,CARMA,http://carma.org/,42.4167,19.5833,CARMA,,,,,,,,
THETH,CARMA0045245,,,ALB,,CARMA,http://carma.org/,42.0683,19.5126,CARMA,,,,,,,,
TIRANE,CARMA0045524,,,ALB,,CARMA,http://carma.org/,41.3275,19.8189,CARMA,,,,,,,,
TRESKA-1,CARMA0060495,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
TRESKA-2,CARMA0060514,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
TUCEP,CARMA0060492,,,ALB,,CARMA,http://carma.org/,41.4917,20.2219,CARMA,,,,,,,,
UJANIK,CARMA0060548,,,ALB,,CARMA,http://carma.org/,40.6381,20.2067,CARMA,,,,,,,,
ULZA,CARMA0046996,,,ALB,,CARMA,http://carma.org/,40.8292,20.0347,CARMA,,,,,,,,
VALBONE,CARMA0060554,,,ALB,,CARMA,http://carma.org/,42.4514,19.8917,CARMA,,,,,,,,
VAU I DEJES,CARMA0047838,,,ALB,,CARMA,http://carma.org/,42.0100,19.6247,CARMA,,,,,,,,
VELCAN,CARMA0060527,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
VERMOSH,CARMA0060536,,,ALB,,CARMA,http://carma.org/,42.5928,19.6806,CARMA,,,,,,,,
VINJOLLE,CARMA0060530,,,ALB,,CARMA,http://carma.org/,41.7836,19.6436,CARMA,,,,,,,,
VITHKUQ,CARMA0060498,,,ALB,,CARMA,http://carma.org/,40.5250,20.5825,CARMA,,,,,,,,
VLORE-1,CARMA0048453,,,ALB,,CARMA,http://carma.org/,40.4667,19.4897,CARMA,,,,,,,,
VOSKOPOJE,CARMA0060525,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
VUKEL,CARMA0048618,,,ALB,,CARMA,http://carma.org/,42.4867,19.6472,CARMA,,,,,,,,
XHYRE,CARMA0060493,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
ABU DHABI,CARMA0000151,,,ARE,,CARMA,http://carma.org/,23.6307,53.7299,CARMA,,,,,,,,
