name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG0000274,-24.745604,-65.05133,1999.4,http://globalenergyobservatory.org/geoid/42264,207,1999,207,1999,229,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA GÜEMES SA,ARG0000287,-24.689444,-65.0425,1993.3,http://globalenergyobservatory.org/geoid/42234,63,1983,63,1983,135,1992,100,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA LA BANDA,ARG0000330,-27.75278,-64.265545,,http://www.industryabout.com/country-territories-3/1230-argentina/fossil-fuels-energy/17321-la-banda-gas-power-plant,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA LAS LOMITAS (ENARSA),ARG0000151,-24.713055,-60.5911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA MIRAFLORES,ARG0000371,-22.86614,-65.758352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA PIEDRA NEGRA,ARG0000372,-22.200608,-65.630138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA PIQUIRENDA SA,ARG0000284,-22.349722,-63.76638888,2010,http://www.industryabout.com/country-territories-3/1230-argentina/fossil-fuels-energy/17338-piquirenda-gas-power-plant,10,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG0000155,-34.72076,-58.388131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,-34.626776,-58.543833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG0000043,-24.689444,-65.0425,2008.7,http://globalenergyobservatory.org/geoid/42230,270,2008,270,2008,300,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMOELECTRICA TIMBUES,ARG0000307,-32.577812,-60.791025,2008.7,http://globalenergyobservatory.org/geoid/42275,275,2008,275,2008,275,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRO MOVIL ENARSA,ARG0000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRO CONDOR,ARG0000373,-43.4233199,-69.1640923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRO POLICIA,ARG0000374,-39.726433,-68.490153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRO WAYLE,ARG0000375,-37.078315,-70.118733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH LOS CARACOLES,ARG0000296,-31.519169,-68.981358,2009,http://globalenergyobservatory.org/geoid/42260,62.6,2009,62.6,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH SAN GUILLERMO,ARG0000301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHACAY OESTE,ARG0000376,-42.679443,-68.060883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHACHARRAMENDI,ARG0000173,-37.33055556,-65.64805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPALCO,ARG0000174,-36.871958,-64.781469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILECITO,ARG0000185,-29.15775,-67.50694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIMBERA 1,ARG0000295,-31.988089,-68.54017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLILA,ARG0000377,-42.51052,-71.43515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHORRIACA,ARG0000378,-37.936251,-70.100244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOS MALAL,ARG0000246,-37.367279,-70.273177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUSCHA,ARG0000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIENEGA,ARG0000379,-22.182804,-66.436622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPOLLETTI,ARG0000267,-38.912083,-67.942722,1954,https://es.wikipedia.org/wiki/Central_hidroel%C3%A9ctrica_Cipolletti,5.4,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
