central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
SANTA ANA,EJSEDSA,SIN DATOS DE GRUPO EMPRESARIO,SOLAR|TERMICA,0.019,<br>Maquina: BP - SOLAR | Tipo Generación: SOLAR | Potencia Instalada (MW): 0.005 | Fecha de puesta en servicio: 1998-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PALMERO 3D-17 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.014 | Fecha de puesta en servicio: 1999-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,VALLE GRANDE,JUJUY,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000006B813D26523F50C0B3B794F3C55A37C0,"{""type"":""Point"",""coordinates"":[-64.989389,-23.354583]}"
SANTO DOMINGO,EJSEDSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,SIN DATOS DE POTENCIA,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,RINCONADA,JUJUY,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000066C1C41F458E50C086C8E9EBF98A36C0,"{""type"":""Point"",""coordinates"":[-66.222969,-22.542876]}"
SEY,EJSEDSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.07,<br>Maquina: PALMERO 4DTA-33 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.026 | Fecha de puesta en servicio: 1998-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PERKINS 6-354 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.044 | Fecha de puesta en servicio: 1998-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SUSQUES,JUJUY,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000062BA10AB3F9F50C0B1A888D349F237C0,"{""type"":""Point"",""coordinates"":[-66.488261,-23.946439]}"
TIMON CRUZ,EJSEDSA,SIN DATOS DE GRUPO EMPRESARIO,SOLAR,0.002,<br>Maquina: BP - SOLAR | Tipo Generación: SOLAR | Potencia Instalada (MW): 0.002 | Fecha de puesta en servicio: 1998-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SANTA CATALINA,JUJUY,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000E9482EFF218A50C036785F950B3136C0,"{""type"":""Point"",""coordinates"":[-66.158325,-22.191583]}"
LIB. SAN MARTIN,CT LIBERTADOR GSM - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,15.3,<br>Maquina: LIBEDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15.3 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-09-11,SIN DATOS DE LOCALIDAD,LEDESMA,JUJUY,CAMMESA,0101000020E61000000DD68BE3383250C0D5ED68F36AD237C0,"{""type"":""Point"",""coordinates"":[-64.78472222,-23.82194444]}"
LOS MADERAS,HIDROCUYO S.A.,HIDROCUYO SA,HIDRAULICA,30.6,<br>Maquina: LMADHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 15.3 | Año de puesta en marcha: 2004 | Año de ingreso al MEM: 2004-03-23<br>Maquina: LMADHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 15.3 | Año de puesta en marcha: 2004 | Año de ingreso al MEM: 2004-03-23,SIN DATOS DE LOCALIDAD,EL CARMEN,JUJUY,CAMMESA,0101000020E6100000ED80EB8A194E50C044A33B889D7138C0,"{""type"":""Point"",""coordinates"":[-65.220309,-24.44381]}"
ALGARROBO DEL AGUILA,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.14,<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CHICAL CO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000011C269E259C950C0E85322E4173342C0,"{""type"":""Point"",""coordinates"":[-67.14611111,-36.3991666]}"
ARBOL SOLO,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.052,<br>Maquina: FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.026 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.026 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CHALILEO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000861A13CF8A9E50C07AE5EC30755142C0,"{""type"":""Point"",""coordinates"":[-66.477222222,-36.636388889]}"
CHACHARRAMENDI,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.81,<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 2002-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SCANIA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.34 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SCANIA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.19 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,UTRACAN,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000B6C002BE796950C0FB43FBA44FAA42C0,"{""type"":""Point"",""coordinates"":[-65.648055556,-37.330555556]}"
CHAPALCO,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.026,<br>Maquina: FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.026 | Fecha de puesta en servicio: 2002-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,TOAY,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000009F758D96033250C027BEDA519C6F42C0,"{""type"":""Point"",""coordinates"":[-64.781469,-36.871958]}"
COLONIA LA PASTORIL,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,SIN DATOS DE POTENCIA,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CHALILEO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000861A13CF8A8E50C0EFDEFB62C92F42C0,"{""type"":""Point"",""coordinates"":[-66.227222222,-36.373333333]}"
GOBERNADOR DUVAL,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.14,<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CURACO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F0A5A9CBED9B50C0973B176CC15E43C0,"{""type"":""Point"",""coordinates"":[-66.436388889,-38.740277778]}"
JAGUEL DEL MONTE,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.026,<br>Maquina: FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.026 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LOVENTUE,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000BEA137AF267250C0F7571DA62E5742C0,"{""type"":""Point"",""coordinates"":[-65.783611111,-36.681111111]}"
LA HUMADA,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.28,<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 2002-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 2002-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CHICAL CO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000295C8FC2F50051C0DC5F7598BA2C42C0,"{""type"":""Point"",""coordinates"":[-68.015,-36.349444444]}"
SANTA ISABEL,APE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.34,<br>Maquina: FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.44 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.45 | Fecha de puesta en servicio: 2001-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ONAN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.45 | Fecha de puesta en servicio: 2001-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CHALILEO,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000078B62B1A09BC50C0D674AF269E1D42C0,"{""type"":""Point"",""coordinates"":[-66.938055556,-36.231388889]}"
GENERAL ACHA,COSEGA LTDA,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,1.8,<br>Maquina: NEG MICON NM 52/900-49 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.9 | Fecha de puesta en servicio: 2002-12-21 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: NEG MICON NM 52/900-49 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.9 | Fecha de puesta en servicio: 2004-02-14 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,UTRACAN,LA PAMPA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000082D4DCC0D32D50C010B633A726B742C0,"{""type"":""Point"",""coordinates"":[-64.7160494,-37.4308671]}"
REALICO,CT REALICO - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,24,<br>Maquina: REALDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 24 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-06-18,SIN DATOS DE LOCALIDAD,REALICO,LA PAMPA,CAMMESA,0101000020E6100000732EC555650F50C0D7A3703D0A8741C0,"{""type"":""Point"",""coordinates"":[-64.24056,-35.055]}"
CASA DE PIEDRA,CENTRAL CASA DE PIEDRA,C. HIDRAULICA CASA DE PIEDRA,HIDRAULICA,60,<br>Maquina: CPIEHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1996 | Año de ingreso al MEM: 1996-09-01<br>Maquina: CPIEHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1997 | Año de ingreso al MEM: 1997-06-01,SIN DATOS DE LOCALIDAD,GENERAL ROCA,RIO NEGRO,CAMMESA,0101000020E61000001A6F2BBD36CC50C07A7077D66E1B43C0,"{""type"":""Point"",""coordinates"":[-67.190841,-38.21432]}"
CHILECITO,EDELAR GENERACION,EDELAR GENERACION,TERMICA,5,<br>Maquina: CHILDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 5 | Año de puesta en marcha: 2007 | Año de ingreso al MEM: 2007-10-05,SIN DATOS DE LOCALIDAD,CHILECITO,LA RIOJA,CAMMESA,0101000020E610000019AC17C771E050C0AAF1D24D62283DC0,"{""type"":""Point"",""coordinates"":[-67.50694444,-29.15775]}"
CHILECITO ENARS,CT CHILECITO - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,10,<br>Maquina: CHLEDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 10 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-08,SIN DATOS DE LOCALIDAD,CHILECITO,LA RIOJA,CAMMESA,0101000020E6100000F373435376E050C00FF10F5B7A283DC0,"{""type"":""Point"",""coordinates"":[-67.507222,-29.158117]}"
LA RIOJA DELIV,CT LA RIOJA - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,19.2,<br>Maquina: LRIDDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 19.2 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-06-17,SIN DATOS DE LOCALIDAD,CAPITAL,LA RIOJA,CAMMESA,0101000020E6100000E17A14AE47B550C09E97697F90613DC0,"{""type"":""Point"",""coordinates"":[-66.8325,-29.38111111]}"
L.RIOJA SUR ENA,CT LA RIOJA SUR- SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,10,<br>Maquina: LRISDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 10 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-05-13,SIN DATOS DE LOCALIDAD,CAPITAL,LA RIOJA,CAMMESA,0101000020E6100000E678E4933EB550C0A893094B7E613DC0,"{""type"":""Point"",""coordinates"":[-66.83194444,-29.38083333]}"
LA RIOJA,GENERACION RIOJANA SA,GENERACIÓN RIOJANA SA,TERMICA,42,<br>Maquina: LRIOTG23 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 2009-08-14<br>Maquina: LRIOTG21 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1980 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LRIODI | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 4 | Año de puesta en marcha: 1994 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LRIOTG22 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 12 | Año de puesta en marcha: 1975 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CAPITAL,LA RIOJA,CAMMESA,0101000020E6100000DBA337DC47B550C01669E21DE0613DC0,"{""type"":""Point"",""coordinates"":[-66.832511,-29.382326]}"
ARAUCO EOLICO,PARQUE EOLICO ARAUCO SAPEM,PARQUE EÓLICO ARAUCO SA,EOLICA,25.2,<br>Maquina: ARAUEO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 25.2 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-06-15,SIN DATOS DE LOCALIDAD,ARAUCO,LA RIOJA,CAMMESA,0101000020E6100000E661FC8F27B050C0FEFF498D1AAB3CC0,"{""type"":""Point"",""coordinates"":[-66.7524147,-28.6683739]}"
C.H. A.CONDARCO,CONSORCIO POTRERILLOS,CONS. EMP. MEND. POTRERILLO,HIDRAULICA,61,<br>Maquina: CONDHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 24 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-04-14<br>Maquina: CONDHI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 13 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-04-14<br>Maquina: CONDHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 24 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-04-14,SIN DATOS DE LOCALIDAD,LAS HERAS,MENDOZA,CAMMESA,0101000020E61000008B506C054D4351C03448C153C88540C0,"{""type"":""Point"",""coordinates"":[-69.051576,-33.045176]}"
C.H.CACHEUTA,CONSORCIO POTRERILLOS,CONS. EMP. MEND. POTRERILLO,HIDRAULICA,120,<br>Maquina: CACHHI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 2002 | Año de ingreso al MEM: 2002-07-08<br>Maquina: CACHHI04 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 2002 | Año de ingreso al MEM: 2002-07-08<br>Maquina: CACHHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 2002 | Año de ingreso al MEM: 2002-07-08<br>Maquina: CACHHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 30 | Año de puesta en marcha: 2002 | Año de ingreso al MEM: 2002-07-08,SIN DATOS DE LOCALIDAD,LUJAN DE CUYO,MENDOZA,CAMMESA,0101000020E6100000BDFC4E93194751C0FA60191BBA8340C0,"{""type"":""Point"",""coordinates"":[-69.110936,-33.029117]}"
CRUZ DE PIEDRA,C. TERMICAS MENDOZA SA,CENTRAL PUERTO SA,TERMICA,14,<br>Maquina: CDPITG21 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 14 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,MAIPU,MENDOZA,CAMMESA,0101000020E610000081423D7D043351C0CE35CCD0788440C0,"{""type"":""Point"",""coordinates"":[-68.797149,-33.034937]}"
LUJAN DE CUYO,C. TERMICAS MENDOZA SA | C T MENDOZA COGENERADOR,CENTRAL PUERTO SA,TERMICA,539.8,<br>Maquina: LDCUTG24 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 22.8 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTG21 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 27 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTG23 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 22.8 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTG22 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 27 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTG25 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 195.8 | Año de puesta en marcha: 1998 | Año de ingreso al MEM: 1998-05-11<br>Maquina: LDCUTV15 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 94.4 | Año de puesta en marcha: 1983 | Año de ingreso al MEM: 1998-05-11<br>Maquina: LDCUTV12 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 60 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTV11 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 60 | Año de puesta en marcha: 1970 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LDCUTV14 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1987 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,LUJAN DE CUYO,MENDOZA,CAMMESA,0101000020E6100000ED815660C83E51C0ACA8C1340C8740C0,"{""type"":""Point"",""coordinates"":[-68.98098,-33.05506]}"
AGUA ESCONDIDA,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.13,<br>Maquina: DEUTZ | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.058 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: DEUTZ | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.072 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000170CCA0E531351C0A4703D0AD71342C0,"{""type"":""Point"",""coordinates"":[-68.301944444,-36.155]}"
BARDAS BLANCAS,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.12,<br>Maquina: MWM | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.12 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000EC51B81E857351C0C810C8711CEF41C0,"{""type"":""Point"",""coordinates"":[-69.805,-35.868055556]}"
EL ALAMBRADO,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.068,<br>Maquina: PERKINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.068 | Fecha de puesta en servicio: 1986-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F3CAD961EA7651C0C3F5285C8F2242C0,"{""type"":""Point"",""coordinates"":[-69.858055556,-36.27]}"
EL CORTADERAL,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.036,<br>Maquina: PERKINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.036 | Fecha de puesta en servicio: 1985-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000A3417CF36A2251C0F3CAD961EA4A42C0,"{""type"":""Point"",""coordinates"":[-68.537777778,-36.585277778]}"
EL MANZANO (MALARGÜE),EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.036,<br>Maquina: PERKINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.036 | Fecha de puesta en servicio: 1986-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000061E3B3A2917051C05DBE830C950D42C0,"{""type"":""Point"",""coordinates"":[-69.758888889,-36.106111111]}"
ESCUELA CARAPACHO,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.036,<br>Maquina: PERKINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.036 | Fecha de puesta en servicio: 1985-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MALARGÜE,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000300E039D364C51C020B4AC6824E841C0,"{""type"":""Point"",""coordinates"":[-69.190833333,-35.813611111]}"
LA JAULA - PAREDITAS,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.052,<br>Maquina: DEUTZ 6 CILINDROS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.052 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SAN CARLOS,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000007FD93D79585451C06090F469155541C0,"{""type"":""Point"",""coordinates"":[-69.3179,-34.664716]}"
LAS CUEVAS,EDEMSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.721,"<br>Maquina: HN12 - VOLVO PENTA TWD 1210 G
 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.24 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: HN08 - SCANIA DSC 11
 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.28 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: HN15 - SCANIA DSC 11
 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.201 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA",SIN DATOS DE LOCALIDAD,LUJAN DE CUYO,MENDOZA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F3CAD961EA8251C0A8FD804E1B6840C0,"{""type"":""Point"",""coordinates"":[-70.045555556,-32.813333333]}"
